Nr.;Datum;Modus;"Position(en) Anzahl";Position(en);"Position(en) USt %";Zahlungsart;"Netto €";"Steuer €";"Brutto €";"Trinkgeld €";Storniert;"Storno Nr.";Stornodatum;"Storno Brutto €";"Storno Trinkgeld €";Kunde;"Kunde - Adresse";KassiererIn;Umsatzzuweisung
19833;"2026-01-05 12:36:35";Normal;"1| 1";"Sadhana: Hunderte von Gottheiten des Freudvollen Landes, Buch: Die mündlichen Anleitungen des Mahamudra";"7, 7";Bar;19,58;1,37;20,95;0,00;Nein;;;;;;;"Shop Team";
19834;"2026-01-09 09:45:40";Normal;"1| 1| 1";"Samenkarte Veer &Moon 9604, Mala Brokat Beutel dunkelblau mit rote Futter S 9007, Weißer Salbei Smudge mit Zimt S 2er-set";"19, 19, 19";Bar;9,66;1,84;11,50;0,00;Nein;;;;;;;"Shop Team";
19835;"2026-01-09 09:47:39";Normal;"2| 1| 1| 1";"Geschenktüte 9147, Samenkarte Veer &Moon 9604, Samtbeutel, Spende";"19, 19, 19, 0";Bar;21,08;3,92;25,00;0,00;Nein;;;;;;;"Shop Team";
19836;"2026-01-09 14:06:49";Normal;1;"MorningStar Incense 9201";19;Bar;4,20;0,80;5,00;0,00;Nein;;;;;;;"Shop Team";
19837;"2026-01-09 14:07:53";Normal;"1| 1";"Buch: Freudvoller Weg, Buch Der Neue Führer ins Dakiniland";"7, 7";EC-Karte;51,31;3,59;54,90;0,00;Nein;;;;;;;"Shop Team";
19838;"2026-01-09 14:19:42";Normal;"1| 1";"Dinkel Knusperbrezeln mit Sesam 125g, Ananas Kokos Cocktail 0,7l";"7, 19";Bar;5,19;0,76;5,95;0,00;Nein;;;;;;;"Shop Team";
19839;"2026-01-09 14:22:20";Normal;1;"Geschirrtuch [Halbleinen] Hähnry | Hahn | Küchentücher";19;Bar;13,40;2,55;15,95;0,00;Nein;;;;;;;"Shop Team";
19840;"2026-01-09 14:25:05";Normal;"1| 1";"Kartoffelchips Paprika 125g, Trafo, Zimtsterne 140g, Rosengarten Deutschland / 99% aus kBA";"7, 7";EC-Karte;6,63;0,47;7,10;0,00;Nein;;;;;;;"Shop Team";
19841;"2026-01-10 17:47:46";Normal;1;"Kunst: Dorje Shugden - Minikarte";19;Bar;1,26;0,24;1,50;0,00;Nein;;;;;;;"Shop Team";
19842;"2026-01-10 17:57:20";Normal;"1| 1| 1| 1| 1| 1| 1| 4";"Picasso-Jaspis-Armband 8mm, 7-Zwerge Kinder Saft 0,2Ltr, Voelkel Regional / Demeter, Amitaba, medium taiwanese gold 7010, Red brocade Book Bag 9446, Samtbeutel, Salbei Lutschpastillen 30g, Fenchel/Thymian Honigsirup, Taschentücher 9803";"19, 19, 19, 19, 19, 7, 7, 19";Bar;72,79;12,76;85,55;0,00;Nein;;;;;;;"Shop Team";
19843;"2026-01-10 18:06:52";Normal;1;"Haferlinge, knuspriges Hafergebäck 125g, Bohlsener Mühle";7;Bar;2,34;0,16;2,50;0,00;Nein;;;;;;;"Shop Team";
19844;"2026-01-18 16:46:27";Normal;"1| 1| 1| 2| 3| 1| 3";"Notebook with Japanese closure - Blue Blossom, Apfel Aprikosen Pfirsich Saft 0,7Ltr, Voelkel, Dinkel Knusperbrezeln mit Sesam 125g, Temple Stationary: Grußkarte - Shakyamuni - berührt die Erde, Samtbeutel, Regenbogen-Kristalle Kreis, Tropfen, Zapfen 9716, Taschentücher 9803";"19, 19, 7, 19, 19, 19, 19";EC-Karte;60,56;11,29;71,85;0,00;Nein;;;;;;;"Shop Team";
19845;"2026-01-18 17:03:28";Normal;1;"Buch Der Neue Führer ins Dakiniland";7;Bar;27,99;1,96;29,95;0,00;Nein;;;;;;;"Shop Team";
19846;"2026-01-18 17:06:08";Normal;"1| 2";"Karte: Die Praxis der täglichen Wasserdarbringungen, Taschen aus Sari S";"7, 19";Bar;7,38;1,12;8,50;0,00;Nein;;;;;;;"Shop Team";
19847;"2026-01-18 17:24:17";Normal;"1| 2";"Tzampas Golden Milk 40g, Salbei Lutschpastillen 30g";"19, 7";Bar;8,02;0,78;8,80;0,00;Nein;;;;;;;"Shop Team";
19848;"2026-01-18 17:43:01";Normal;"1| 2| 3";"Kartoffelchips Paprika 125g, Trafo, Handcooked Chips Salt & Vinegar 125g, Trafo Niederland, 7-Zwerge Kinder Saft 0,2Ltr, Voelkel Regional / Demeter";"7, 7, 19";Bar;10,66;1,24;11,90;0,00;Nein;;;;;;;"Shop Team";
19849;"2026-01-18 17:51:14";Normal;"1| 2| 1| 1";"Tasse Herz, Lotus, Auge, Regenbogen 11644, Lotus Teelichalter Capiz all colours 9101, knotted mala jade/ stone 9017, Sonnenfänger mit Lebensbaum und Rosenquarz - 30cm";"19, 19, 19, 19";Bar;65,55;12,45;78,00;0,00;Nein;;;;;;;"Shop Team";
19850;"2026-01-18 17:53:46";Normal;1;"Pane Picco Asia 150g";7;Bar;2,34;0,16;2,50;0,00;Nein;;;;;;;"Shop Team";
19851;"2026-01-18 17:55:26";Normal;1;"Tortilla chiups Org";7;Bar;1,96;0,14;2,10;0,00;Nein;;;;;;;"Shop Team";
19852;"2026-01-18 17:58:11";Normal;1;"Khatag 1987";19;Bar;2,52;0,48;3,00;0,00;Nein;;;;;;;"Shop Team";
19853;"2026-01-20 10:11:42";Normal;"2| 1| 2| 1";"Taschentücher 9803, Pistacchio 'Dubai Style' Schokoriegel 40g, Vivani, Kunst: Avalokiteshvara (1000-armig) 1 - Minikarte, Spende";"19, 7, 19, 0";Bar;5,30;0,70;6,00;0,00;Nein;;;;;;;"Shop Team";
19854;"2026-01-21 10:51:36";Normal;1;Hafermilch;19;Bar;0,00;0,00;0,00;0,00;Nein;;;;;;;"Shop Team";
19855;"2026-01-21 11:26:00";Normal;"1| 1| 1| 1| 1";"Americano, Mango Creme Fraiche, ohne Sahne, warme Milch, Donauwelle";"19, 7, 19, 19, 7";Bar;8,40;1,00;9,40;0,00;Ja;336;"2026-01-21 14:25:09";-9,40;0,00;;;"Café Team";Café
