Nr.;Datum;Modus;Position(en) Anzahl;Position(en);Position(en) USt %;Zahlungsart;Netto €;Steuer €;Brutto €;Trinkgeld €;Storniert;Storno Nr.;Stornodatum;Storno Brutto €;Storno Trinkgeld €;Kunde;Kunde - Adresse;KassiererIn;Umsatzzuweisung
19115;18.10.2025 14:26;Normal;1| 1| 1| 1;Milchkaffee, Erdbeer-Käse-Sahne-Schnitte , glutenfrei, laktosefrei, Omas Rahmkäse-Torte, Heiße Schokolade;19, 19, 19, 19;Bar;12,6;2,4;15;0;Nein;;;;;;;Café Team;
19116;18.10.2025 14:28;Normal;1| 1;Cappuccino, Laugenbrezel mit Butter;19, 19;Bar;4,37;0,83;5,2;0;Nein;;;;;;;Café Team;
19117;18.10.2025 14:38;Normal;1| 1| 1| 1;Tee, Milchkaffee, Mango- Joghurt-Crunch Torte, Himbeer Brownie, glutenfrei;19, 19, 19, 19;EC-Karte;12,1;2,3;14,4;0;Nein;;;;;;;Café Team;
19118;18.10.2025 14:43;Normal;1| 1;Aprikosenkuchen, vegan, Schwarze-Johannisbeere Garten-Limonade;19, 19;EC-Karte;5,04;0,96;6;0;Nein;;;;;;;Café Team;
19119;18.10.2025 14:55;Normal;1;Erdbeer-Käse-Sahne-Schnitte , glutenfrei, laktosefrei;19;Bar;3,78;0,72;4,5;0;Nein;;;;;;;Café Team;
19120;18.10.2025 15:20;Normal;1| 1;Americano, Donauwelle;19, 19;Bar;5,13;0,97;6,1;0;Nein;;;;;;;Café Team;
19121;18.10.2025 15:22;Normal;1| 1;Americano, Aprikosenkuchen, vegan;19, 19;Bar;5,04;0,96;6;0;Nein;;;;;;;Café Team;
19122;18.10.2025 15:23;Normal;1| 1;Espresso, Zitrone Garten-Limonade;19, 19;Bar;3,78;0,72;4,5;0;Nein;;;;;;;Café Team;
19123;18.10.2025 15:25;Normal;1| 1;Chai Oriental, Omas Rahmkäse-Torte;19, 19;Bar;5,88;1,12;7;0;Nein;;;;;;;Café Team;
19124;18.10.2025 15:29;Normal;2| 1| 1| 3;Erdbeer-Käse-Sahne-Schnitte , glutenfrei, laktosefrei, Omas Rahmkäse-Torte, Donauwelle, Americano;19, 19, 19, 19;EC-Karte;19,83;3,77;23,6;0;Nein;;;;;;;Café Team;
19125;18.10.2025 15:30;Normal;1;Orange Garten-Limonade;19;Bar;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19126;18.10.2025 15:31;Normal;1;Americano;19;EC-Karte;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19127;18.10.2025 15:32;Normal;2| 1;Americano, Omas Rahmkäse-Torte;19, 19;Bar;7,14;1,36;8,5;0;Nein;;;;;;;Café Team;
19128;18.10.2025 15:37;Normal;2| 2;Americano, Omas Rahmkäse-Torte;19, 19;Bar;10,08;1,92;12;0;Nein;;;;;;;Café Team;
19129;18.10.2025 15:46;Normal;1| 1| 1| 1;Mango- Joghurt-Crunch Torte, Aprikosenkuchen, vegan, Chai Oriental, Latte Macchiato;19, 19, 19, 19;Bar;12,94;2,46;15,4;0;Nein;;;;;;;Café Team;
19130;18.10.2025 15:55;Normal;2| 1;Cappuccino, Aprikosenkuchen, vegan;19, 19;Bar;7,98;1,52;9,5;0;Nein;;;;;;;Café Team;
19131;18.10.2025 16:01;Normal;1| 3| 3| 1| 1| 1;Heiße Schokolade, Mango- Joghurt-Crunch Torte, Latte Macchiato, Hafermilch, Zitrone Garten-Limonade, Omas Rahmkäse-Torte;19, 19, 19, 19, 19, 19;Bar;29,15;5,55;34,7;0;Nein;;;;;;;Café Team;
19132;18.10.2025 16:02;Normal;1;Pink Grapefruit Garten-Limonade;19;Bar;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19133;18.10.2025 16:06;Normal;2| 1;Cappuccino, Mango- Joghurt-Crunch Torte;19, 19;Bar;9,16;1,74;10,9;0;Nein;;;;;;;Café Team;
19134;18.10.2025 16:10;Normal;1| 1;Americano, Mango- Joghurt-Crunch Torte;19, 19;EC-Karte;6,22;1,18;7,4;0;Nein;;;;;;;Café Team;
19135;18.10.2025 16:13;Normal;1| 1;Americano, Mango- Joghurt-Crunch Torte;19, 19;Bar;6,22;1,18;7,4;0;Nein;;;;;;;Café Team;
19136;18.10.2025 16:33;Normal;2| 1;Cappuccino, Donauwelle;19, 19;EC-Karte;8,07;1,53;9,6;0;Nein;;;;;;;Café Team;
19137;18.10.2025 16:39;Normal;1| 1;Mango- Joghurt-Crunch Torte, Kurkuma Latte;19, 19;Bar;7,06;1,34;8,4;0;Nein;;;;;;;Café Team;
19138;19.10.2025 11:31;Normal;1| 1| 1;Latte Macchiato, Kurkuma Latte, Himbeer Brownie, glutenfrei;19, 19, 19;EC-Karte;8,82;1,68;10,5;0;Nein;;;;;;;Café Team;
